1/9/16,"יום חמישי כ""ח אב תשע""ו"
8/9/16,"יום חמישי ה' אלול תשע""ו"
15/9/16,"יום חמישי י""ב אלול תשע""ו"
22/9/16,"יום חמישי י""ט אלול תשע""ו"
29/9/16,"יום חמישי כ""ו אלול תשע""ו"
6/10/16,"יום חמישי ד' תשרי תשע""ז"
13/10/16,"יום חמישי י""א תשרי תשע""ז"
27/10/16,"יום חמישי כ""ה תשרי תשע""ז"
3/11/16,"יום חמישי ב' חשון תשע""ז"
10/11/16,"יום חמישי ט' חשון תשע""ז"
17/11/16,"יום חמישי ט""ז חשון תשע""ז"
24/11/16,"יום חמישי כ""ג חשון תשע""ז"
1/12/16,"יום חמישי א' כסלו תשע""ז"
8/12/16,"יום חמישי ח' כסלו תשע""ז"
15/12/16,"יום חמישי ט""ו כסלו תשע""ז"
22/12/16,"יום חמישי כ""ב כסלו תשע""ז"
5/1/17,"יום חמישי ז' טבת תשע""ז"
12/1/17,"יום חמישי י""ד טבת תשע""ז"
19/1/17,"יום חמישי כ""א טבת תשע""ז"
26/1/17,"יום חמישי כ""ח טבת תשע""ז"
2/2/17,"יום חמישי ו' שבט תשע""ז"
9/2/17,"יום חמישי י""ג שבט תשע""ז"
16/2/17,"יום חמישי כ' שבט תשע""ז"
23/2/17,"יום חמישי כ""ז שבט תשע""ז"
2/3/17,"יום חמישי ד' אדר תשע""ז"
16/3/17,"יום חמישי י""ח אדר תשע""ז"
23/3/17,"יום חמישי כ""ה אדר תשע""ז"
30/3/17,"יום חמישי ג' ניסן תשע""ז"
